Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг)
07:00:00.000+01:00,07:15:00.000+01:00,,,,,,,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,,,,,,,,,,,11,,,
07:30:00.000+01:00,07:45:00.000+01:00,,,39.54169792335105,,,,,,0.2789266642721887,0.31382300242332367,0.2440303261210537,63,,,
07:45:00.000+01:00,08:00:00.000+01:00,4,,179.50371597416174,1.0,1,,,,1.0822663256157794,1.6745459103732225,0.4899867408583362,270,,,
08:00:00.000+01:00,08:15:00.000+01:00,4,,112.69480782976851,,,,,,0.6272412731840334,0.940659540549297,0.3138230058187702,178,,,
08:15:00.000+01:00,08:30:00.000+01:00,10,,527.3078287441415,4.0,4,,,,1.0821965739250974,1.5540810081241037,0.3138230020257304,760,,,
08:30:00.000+01:00,08:45:00.000+01:00,3,,234.44744880154624,2.0,2,,,,1.4914570581029547,1.5188932315772412,1.456450424883937,317,,,
08:45:00.000+01:00,09:00:00.000+01:00,,,,,,,,,,,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,,,,,,,,,,,,,,,
09:15:00.000+01:00,09:30:00.000+01:00,,,,,,,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,1,,18.972661431180637,,,,,,,,,30,,,
09:45:00.000+01:00,10:00:00.000+01:00,8,,263.2003796227223,,,,,,0.6596776258662002,1.1177303106788692,0.3138229815386343,418,,,
10:00:00.000+01:00,10:15:00.000+01:00,,,,,,,,,,,,15,,,
10:15:00.000+01:00,10:30:00.000+01:00,,,,,,,,,,,,,,,
10:30:00.000+01:00,10:45:00.000+01:00,,,,,,,,,,,,,,,
10:45:00.000+01:00,11:00:00.000+01:00,2,,44.79578334575492,,,,,,0.3138229861594211,0.3138229861594211,0.3138229861594211,71,,,
11:00:00.000+01:00,11:15:00.000+01:00,2,,55.627576459581086,,,,,,0.38565828105625316,0.38565828105625316,0.38565828105625316,89,,,
11:15:00.000+01:00,11:30:00.000+01:00,,,,,,,,,,,,,,,
11:30:00.000+01:00,11:45:00.000+01:00,3,,66.80188222089711,,,,,,0.3138229847846416,0.3138229847846416,0.3138229847846416,106,,,
11:45:00.000+01:00,12:00:00.000+01:00,12,,718.8055476998455,7.0,7,,,,1.0228871709194107,1.390515207322894,0.3138229726121147,1055,,,
12:00:00.000+01:00,12:15:00.000+01:00,,,14.861138224548514,,,,,,,,,24,,,
12:15:00.000+01:00,12:30:00.000+01:00,,,,,,,,,,,,,,,
12:30:00.000+01:00,12:45:00.000+01:00,,,,,,,,,,,,,,,
12:45:00.000+01:00,13:00:00.000+01:00,2,,72.64160042917487,,,,,,0.8339466197408455,1.3540702370583673,0.31382300242332367,108,,,
13:00:00.000+01:00,13:15:00.000+01:00,,,,,,,,,,,,,,,
13:15:00.000+01:00,13:30:00.000+01:00,,,,,,,,,,,,,,,
13:30:00.000+01:00,13:45:00.000+01:00,2,,84.14344431407014,,,,,,1.1604942956845752,1.1604942956845752,1.1604942956845752,139,,,
13:45:00.000+01:00,14:00:00.000+01:00,14,,898.9342223859273,8.0,8,,,,1.1157758086830303,1.4163781326679799,0.3138229870318774,1303,,,
14:00:00.000+01:00,14:15:00.000+01:00,,,,,,,,,,,,,,,
14:15:00.000+01:00,14:30:00.000+01:00,,,,,,,,,,,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,,,,,,,,,,,,18,,,
14:45:00.000+01:00,15:00:00.000+01:00,1,,41.4246359197011,,,,,,0.3576325486063759,0.40144210155776,0.31382299565499194,66,,,
15:00:00.000+01:00,15:15:00.000+01:00,,,,,,,,,,,,,,,
15:15:00.000+01:00,15:30:00.000+01:00,,,,,,,,,,,,,,,
15:30:00.000+01:00,15:45:00.000+01:00,,,,,,,,,,,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,,,,,,,,,,,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,,,,,,,,,,,,,,,
16:15:00.000+01:00,16:30:00.000+01:00,3,,77.20045785035205,,,,,,0.3243057140173687,0.3347884338262035,0.31382299420853393,140,,,
16:30:00.000+01:00,16:45:00.000+01:00,,,,,,,,,,,,,,,
16:45:00.000+01:00,17:00:00.000+01:00,,,,,,,,,,,,,,,
17:00:00.000+01:00,17:15:00.000+01:00,,,,,,,,,,,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,1,,36.222695381436296,,,,,,,,,58,,,
17:30:00.000+01:00,17:45:00.000+01:00,15,,946.1315339516009,12.0,12,,,,1.1133107261442396,1.2561996868342666,0.31382298478464155,1380,,,
17:45:00.000+01:00,18:00:00.000+01:00,4,,124.17495205899505,,,,,,0.5400538420312723,0.8110733582687426,0.3138229847846416,197,,,
18:00:00.000+01:00,18:15:00.000+01:00,,,,,,,,,,,,11,,,
18:15:00.000+01:00,18:30:00.000+01:00,9,,277.9480239211504,,,,,,0.5842879940562531,1.0038864157896745,0.31382300242332367,452,,,
18:30:00.000+01:00,18:45:00.000+01:00,15,,944.9691436107887,9.0,9,,,,1.0832729415089857,1.4389619384802979,0.36985619759992955,1384,,,
18:45:00.000+01:00,19:00:00.000+01:00,13,,804.1722507397001,7.0,7,,,,0.9269094263237353,1.3257705645949687,0.2631902151447754,1182,,,
19:00:00.000+01:00,19:15:00.000+01:00,5,,222.17420897640466,,,,,,0.8125998568817174,1.2806066138493664,0.28019909811868354,338,,,
19:15:00.000+01:00,19:30:00.000+01:00,,,,,,,,,,,,,,,
19:30:00.000+01:00,19:45:00.000+01:00,,,0.571343386740253,,,,,,,,,13,,,
19:45:00.000+01:00,20:00:00.000+01:00,,,34.576832545127345,,,,,,0.29290146074298434,0.3138229886798503,0.2719799328061184,55,,,
20:00:00.000+01:00,20:15:00.000+01:00,6,,257.25640647031923,1.0,1,,,,0.9107088136358387,1.3755825201017968,0.6212038923963275,403,,,
20:15:00.000+01:00,20:30:00.000+01:00,,,,,,,,,,,,,,,
20:30:00.000+01:00,20:45:00.000+01:00,,,13.075529664892557,,,,,,0.29290146609889667,0.29290146609889667,0.29290146609889667,21,,,
20:45:00.000+01:00,21:00:00.000+01:00,,,4.498558301041243,,,,,,,,,7,,,
21:00:00.000+01:00,21:15:00.000+01:00,,,,,,,,,,,,,,,
21:15:00.000+01:00,21:30:00.000+01:00,,,20.0846719610672,,,,,,0.31382297930700437,0.31382297930700437,0.31382297930700437,32,,,
21:30:00.000+01:00,21:45:00.000+01:00,,,,,,,,,,,,11,,,
21:45:00.000+01:00,22:00:00.000+01:00,,,,,,,,,,,,,,,
22:00:00.000+01:00,22:15:00.000+01:00,,,,,,,,,,,,,,,
22:15:00.000+01:00,22:30:00.000+01:00,,,,,,,,,,,,,,,
22:30:00.000+01:00,22:45:00.000+01:00,,,,,,,,,,,,,,,
22:45:00.000+01:00,23:00:00.000+01:00,,,,,,,,,,,,,,,
23:00:00.000+01:00,23:15:00.000+01:00,,,,,,,,,,,,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,,,,,,,,,,,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,,,,,,,,,,,,,,
23:45:00.000+01:00,00:00:00.000+01:00,,,32.00994593795085,,,,,,0.3138229710368466,0.3138229710368466,0.3138229710368466,51,,,
